Date,Currency_Code,Impact,Actual,Previous,Actual_Val,Forecast_Val,Previous_Val
2018-01-08T21:00:00.000Z,USD,,0,0,,,
2018-01-09T00:30:00.000Z,AUD,high,1,-1,11.7%,-1.3%,0.9%
2018-01-09T00:30:00.000Z,AUD,med,0,0,-2.3%,,1.5%
2018-01-09T05:00:00.000Z,JPY,low,-1,0,44.7,45.0,44.9
2018-01-09T06:45:00.000Z,CHF,low,0,-1,3.0%,3.0%,3.0%
2018-01-09T07:00:00.000Z,EUR,med,1,1,3.4%,1.8%,-1.4%
2018-01-09T07:00:00.000Z,EUR,med,1,1,5.6%,3.9%,2.7%
2018-01-09T07:00:00.000Z,EUR,low,1,0,25.4B,25.3B,18.1B
2018-01-09T07:00:00.000Z,EUR,low,1,0,23.7B,21.3B,18.9B
2018-01-09T07:45:00.000Z,EUR,low,-1,0,-5.69B,-4.7B,-4.96B
2018-01-09T07:45:00.000Z,EUR,med,0,-1,-3.3B,,-2.2B
2018-01-09T09:00:00.000Z,EUR,med,0,0,8.7%,8.7%,8.8%
2018-01-09T11:00:00.000Z,USD,med,-1,0,104.9,107.8,107.5
2018-01-09T13:15:00.000Z,CAD,,1,0,217.0k,211.0k,252.2k
2018-01-09T15:00:00.000Z,USD,,0,0,,,
2018-01-10T01:30:00.000Z,CNY,med,-1,0,1.8%,1.9%,1.7%
2018-01-10T01:30:00.000Z,CNY,med,1,0,4.9%,4.8%,5.8%
2018-01-10T07:45:00.000Z,EUR,med,1,0,-1.0%,-1.4%,2.7%
2018-01-10T07:45:00.000Z,EUR,med,0,0,-0.5%,-0.5%,1.9%
2018-01-10T07:45:00.000Z,EUR,med,-1,0,2.5%,2.6%,5.5%
2018-01-10T07:45:00.000Z,EUR,med,1,0,3.0%,2.9%,6.9%
2018-01-10T08:30:00.000Z,GBP,med,-1,1,0.4%,0.8%,-1.7%
2018-01-10T08:30:00.000Z,GBP,med,1,1,2.5%,1.8%,3.6%
2018-01-10T08:30:00.000Z,GBP,med,1,-1,0.4%,-1.0%,-0.2%
2018-01-10T08:30:00.000Z,GBP,high,1,1,3.5%,2.8%,3.9%
2018-01-10T09:30:00.000Z,GBP,med,-1,-1,-12.23B,-10.95B,-10.78B
2018-01-10T09:30:00.000Z,GBP,med,-1,-1,-4.68B,-2.6B,-2.38B
2018-01-10T09:30:00.000Z,GBP,med,1,1,0.4%,0.3%,0.1%
2018-01-10T09:30:00.000Z,GBP,med,0,1,0.4%,0.4%,0.0%
2018-01-10T13:00:00.000Z,GBP,med,1,1,0.6%,0.5%,0.5%
